protocol,load_mode,lambda_base,M,best_q,q,tuning_stable_fraction,mean_delay_us,mean_p95_us,mean_collision_waste_us,rate_screen_rejected_fraction,mean_arrival_rate_pkt_s,mean_goodput_pkt_s,mean_completion_ratio,mean_backlog_slope_pkt_s,mean_final_backlog
sf_cb,fixed_packet,10,4,0.5,0.1,1,3846.42087723195,9629.33333333333,4940,0,396.333333333333,397,1,-0.75007275007275,0
sf_cb,fixed_packet,10,4,0.5,0.2,1,2548.74734737035,5803,7346.66666666667,0,396.333333333333,396.333333333333,1,-0.328424328424329,0
sf_cb,fixed_packet,10,4,0.5,0.5,1,1707.68551024368,3629.25,13933.3333333333,0,396.333333333333,396.333333333333,1,-0.38950838950839,0
sb_cf,fixed_packet,10,4,NaN,0.0001,0.333333333333333,338144.607329843,896583,185490,0.666666666666667,396.333333333333,294.333333333333,0.75708901931846,92.2837802837803,97.3333333333333
sb_cf,fixed_packet,10,4,NaN,0.0002,0.666666666666667,244293.866202369,673527.75,438183.333333333,0.333333333333333,396.333333333333,301.666666666667,0.888100866824271,101.442433442433,47.3333333333333
sb_cf,fixed_packet,10,4,NaN,0.0005,0,NaN,NaN,909475,1,396.333333333333,106.333333333333,0.215813359703568,313.062157062157,316.666666666667
sb_cf,fixed_packet,10,4,NaN,0.001,0,NaN,NaN,1066153.33333333,1,396.333333333333,22,0.0418188421554137,380.44542044542,409.333333333333
sb_cf,fixed_packet,10,4,NaN,0.002,0,NaN,NaN,1131360,1,396.333333333333,3.66666666666667,0.00472813238770686,394.229714229714,447
sb_cf,fixed_packet,10,4,NaN,0.005,0,NaN,NaN,1146645,1,396.333333333333,0,0,395.934543934544,460.666666666667
sb_cf,fixed_packet,10,4,NaN,0.01,0,NaN,NaN,1152298.33333333,1,396.333333333333,0,0,395.934543934544,464.333333333333
sb_cf,fixed_packet,10,5,NaN,0.0001,0,NaN,NaN,247871.666666667,1,396.333333333333,246,0.498748966014185,149.252261252261,200.333333333333
sb_cf,fixed_packet,10,5,NaN,0.0002,0,NaN,NaN,583438.333333333,1,396.333333333333,204.666666666667,0.411837438547745,217.73196973197,234.333333333333
sb_cf,fixed_packet,10,5,NaN,0.0005,0,NaN,NaN,1021616.66666667,1,396.333333333333,48,0.0755177738214689,362.034042034042,394
sb_cf,fixed_packet,10,5,NaN,0.001,0,NaN,NaN,1114755,1,396.333333333333,6.66666666666667,0.00566276320853263,390.510122510123,441.666666666667
sb_cf,fixed_packet,10,5,NaN,0.002,0,NaN,NaN,1151278.33333333,1,396.333333333333,0.333333333333333,0.000879507475813544,395.138847138847,462
sb_cf,fixed_packet,10,5,NaN,0.005,0,NaN,NaN,1158005,1,396.333333333333,0,0,395.934543934544,466.666666666667
sb_cf,fixed_packet,10,5,NaN,0.01,0,NaN,NaN,1156685,1,396.333333333333,0,0,395.934543934544,465.333333333333
sb_cf,fixed_packet,10,6,NaN,0.0001,0,NaN,NaN,339185,1,396.333333333333,202.333333333333,0.397840218988609,193.593733593734,242
sb_cf,fixed_packet,10,6,NaN,0.0002,0,NaN,NaN,710021.666666667,1,396.333333333333,136.333333333333,0.244715061385405,287.352591352591,305.666666666667
sb_cf,fixed_packet,10,6,NaN,0.0005,0,NaN,NaN,1085633.33333333,1,396.333333333333,27,0.0351289472848199,369.73640973641,428
sb_cf,fixed_packet,10,6,NaN,0.001,0,NaN,NaN,1152035,1,396.333333333333,3.66666666666667,0.00236406619385343,392.224368224368,462.333333333333
sb_cf,fixed_packet,10,6,NaN,0.002,0,NaN,NaN,1159131.66666667,1,396.333333333333,0,0,395.934543934544,467.666666666667
sb_cf,fixed_packet,10,6,NaN,0.005,0,NaN,NaN,1170295,1,396.333333333333,0,0,395.934543934544,471.333333333333
sb_cf,fixed_packet,10,6,NaN,0.01,0,NaN,NaN,1177471.66666667,1,396.333333333333,0,0,395.934543934544,473
sf_cf,fixed_packet,15,2,0.2,0.005,0,NaN,NaN,13933.3333333333,1,587.666666666667,391.666666666667,0.542569454162808,183.569331569332,269
sf_cf,fixed_packet,15,2,0.2,0.01,1,140073.050404404,393219.833333333,37620,0,587.666666666667,539.666666666667,1,29.6772656772657,0
sf_cf,fixed_packet,15,2,0.2,0.025,1,30808.0595455524,92540.9166666666,47120,0,587.666666666667,583.333333333333,1,12.7246887246887,0
sf_cf,fixed_packet,15,2,0.2,0.05,1,12823.5223499043,38725.5,46740,0,587.666666666667,585,1,8.48506048506048,0
sf_cf,fixed_packet,15,2,0.2,0.1,1,5815.09674473861,17170.1666666667,52566.6666666667,0,587.666666666667,587.333333333333,1,1.94774994774995,0
sf_cf,fixed_packet,15,2,0.2,0.2,1,3243.20693606915,9678.41666666667,64473.3333333333,0,587.666666666667,586.333333333333,1,2.17318617318617,0
sf_cf,fixed_packet,15,2,0.2,0.5,0,NaN,NaN,1089713.33333333,1,587.666666666667,1.33333333333333,0.00110926234054354,600.897652897653,647.333333333333
sf_cf,fixed_packet,15,3,0.1,0.005,0,NaN,NaN,15960,1,587.666666666667,272,0.321775965902954,329.028305028305,405
sf_cf,fixed_packet,15,3,0.1,0.01,0.333333333333333,318027.062818336,917631,51870,0.666666666666667,587.666666666667,422.666666666667,0.726205489493309,175.150659150659,161
sf_cf,fixed_packet,15,3,0.1,0.025,1,82863.6537480327,254132.166666667,117990,0,587.666666666667,558.666666666667,1,22.7837627837628,0
sf_cf,fixed_packet,15,3,0.1,0.05,1,28072.2475238055,83481.0833333333,134520,0,587.666666666667,583.666666666667,1,17.8636298636299,0
