q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.5,coarse,3,858.384571752694,6.36373955609699,6.14634146341463,852.23823028928,1,1,sb_cb,1,3,0
0.525,fine,3,857.75666477595,6.80457230750906,6.14634146341463,851.610323312535,1,1,sb_cb,1,3,1
0.55,fine,3,856.613159387408,6.54838048844094,5.92682926829268,850.686330119115,1,1,sb_cb,1,3,0
0.575,fine,3,856.327283040272,6.51505887602591,5.78048780487805,850.546795235394,1,1,sb_cb,1,3,0
0.6,coarse,3,855.971639251276,6.41716382055332,5.78048780487805,850.191151446398,1,1,sb_cb,1,3,0
0.625,fine,3,855.410096426546,6.52728901033087,5.78048780487805,849.629608621668,1,1,sb_cb,1,3,0
0.65,fine,3,854.709018718094,6.68425338464431,5.78048780487805,848.928530913216,1,1,sb_cb,1,3,0
0.675,fine,3,853.934770277935,6.88988716880014,5.78048780487805,848.154282473057,1,1,sb_cb,1,3,0
0.7,coarse,3,853.502552467385,6.67402059750618,5.78048780487805,847.722064662507,1,1,sb_cb,1,3,0
0.8,coarse,3,852.090187180942,6.78375021432549,5.78048780487805,846.309699376064,1,1,sb_cb,1,3,0
0.9,coarse,3,850.328984685196,7.02080610555607,5.78048780487805,844.548496880318,1,1,sb_cb,1,3,0
0.95,coarse,3,849.833806012479,7.04003142576873,5.78048780487805,844.053318207601,1,1,sb_cb,1,3,0
0.975,coarse,3,849.554736245037,7.14973366094894,5.78048780487805,843.774248440159,1,1,sb_cb,1,3,0
1,coarse,3,849.199092456041,7.11467632387353,5.78048780487805,843.418604651163,1,1,sb_cb,1,3,0
0.01,coarse,3,2127.5666477595,133.707697167012,26.0147475893364,2101.55190017016,1,1,sb_cb,1,4,0
0.025,coarse,3,1479.06125921724,15.5558906438356,17.9234259784458,1461.1378332388,1,1,sb_cb,1,4,0
0.05,coarse,3,1269.35734543392,5.21027142326496,16.9994327850255,1252.35791264889,1,1,sb_cb,1,4,0
0.1,coarse,3,1136.44696539989,7.66582992448003,10.6505955757232,1125.79636982416,1,1,sb_cb,1,4,0
0.2,coarse,3,1090.42768009075,11.9818558740134,8.90640952921157,1081.52127056154,1,1,sb_cb,1,4,0
0.3,coarse,3,1072.85819625638,9.70476296061501,8.10153148043108,1064.75666477595,1,1,sb_cb,1,4,0
0.4,coarse,3,1067.0845150312,8.43335224049914,7.95519001701645,1059.12932501418,1,1,sb_cb,1,4,0
0.425,fine,3,1065.88145207033,8.48954404161878,7.95519001701645,1057.92626205332,1,1,sb_cb,1,4,0
0.45,fine,3,1064.66817923993,8.21491306564551,7.95519001701645,1056.71298922292,1,1,sb_cb,1,4,0
0.475,fine,3,1063.25241066364,8.26602619729012,7.95519001701645,1055.29722064663,1,1,sb_cb,1,4,1
0.5,coarse,3,1062.32841747022,8.17747789454352,7.95519001701645,1054.3732274532,1,1,sb_cb,1,4,0
0.525,fine,3,1061.70051049348,8.49464690860441,7.95519001701645,1053.74532047646,1,1,sb_cb,1,4,0
0.55,fine,3,1060.85649461146,8.70125911181896,7.95519001701645,1052.90130459444,1,1,sb_cb,1,4,0
0.575,fine,3,1059.65002836075,8.63861175315144,7.95519001701645,1051.69483834373,1,1,sb_cb,1,4,0
0.6,coarse,3,1059.08848553602,8.81687181341103,7.95519001701645,1051.133295519,1,1,sb_cb,1,4,0
0.7,coarse,3,1057.74248440159,8.82904974495637,7.95519001701645,1049.78729438457,1,1,sb_cb,1,4,0
0.8,coarse,3,1056.38967668746,8.62308157793683,7.80884855360182,1048.58082813386,1,1,sb_cb,1,4,0
0.9,coarse,3,1054.88712422008,8.17423676145427,7.73908111174135,1047.14804310834,1,1,sb_cb,1,4,0
0.95,coarse,3,1054.11968235961,8.55525047264983,7.73908111174135,1046.38060124787,1,1,sb_cb,1,4,0
0.975,coarse,3,1053.90697674419,8.55697034480557,7.73908111174135,1046.16789563244,1,1,sb_cb,1,4,0
1,coarse,3,1053.83720930233,8.59499772765214,7.73908111174135,1046.09812819058,1,1,sb_cb,1,4,0
0.01,coarse,3,2304.94781622235,32.9042254238916,42.6091888825865,2262.33862733976,1,1,sb_cb,1,5,0
0.025,coarse,3,1654.8598979013,24.5774634415704,30.1701644923426,1624.68973340896,1,1,sb_cb,1,5,0
0.05,coarse,3,1455.62960862167,10.2779983037968,11.6120249574589,1444.01758366421,1,1,sb_cb,1,5,0
0.1,coarse,3,1339.91264889393,13.8875941922344,11.0998298355077,1328.81281905842,1,1,sb_cb,1,5,0
0.2,coarse,3,1297.07543959161,7.75761164570799,11.0998298355077,1285.9756097561,1,1,sb_cb,1,5,0
0.3,coarse,3,1286.86557005105,7.01939503858951,11.0998298355077,1275.76574021554,1,1,sb_cb,1,5,0
0.4,coarse,3,1278.00850822462,7.06394128068604,11.0266591038003,1266.98184912082,1,1,sb_cb,1,5,0
0.5,coarse,3,1274.37379466818,8.74935599472429,11.0266591038003,1263.34713556438,1,1,sb_cb,1,5,0
0.6,coarse,3,1293.57685762904,31.0802679670857,11.0266591038003,1282.55019852524,1,1,sb_cb,1,5,0
0.7,coarse,3,1289.25978445831,31.2580268565929,10.8837209302326,1278.37606352808,1,1,sb_cb,1,5,0
0.725,fine,3,1288.70164492343,31.5370092822087,10.8837209302326,1277.81792399319,1,1,sb_cb,1,5,0
0.75,fine,3,1284.34543391946,28.2206964343294,10.8837209302326,1273.46171298922,1,1,sb_cb,1,5,0
0.775,fine,3,1264.24049914918,8.63922915515654,10.8837209302326,1253.35677821895,1,1,sb_cb,1,5,1
0.8,coarse,3,1263.81168462847,8.52634061131328,10.8837209302326,1252.92796369824,1,1,sb_cb,1,5,0
0.825,fine,3,1263.52921157119,8.55588150485918,10.8837209302326,1252.64549064095,1,1,sb_cb,1,5,0
0.85,fine,3,1262.96426545661,8.61881742675865,10.8837209302326,1252.08054452638,1,1,sb_cb,1,5,0
0.875,fine,3,1262.47249007374,8.75489632177769,10.8837209302326,1251.58876914351,1,1,sb_cb,1,5,0
0.9,coarse,3,1261.83437322745,8.74218518532458,10.8837209302326,1250.95065229722,1,1,sb_cb,1,5,0
0.95,coarse,3,1261.41236528644,8.842804264654,10.8837209302326,1250.52864435621,1,1,sb_cb,1,5,0
0.975,coarse,3,1261.12648893931,8.7662320462026,10.8837209302326,1250.24276800908,1,1,sb_cb,1,5,0
1,coarse,3,1260.70788428815,8.97552951618378,10.8837209302326,1249.82416335791,1,1,sb_cb,1,5,0
